Cabinet,Dept,Program,Expense Category,FY18 Actual,FY19 Actual,20 Budget,21 Budget
Streets,Public Works Department,Waste Reduction,Current Charges & Obligations,"13,785","4,932","3,000","3,000"
Streets,Public Works Department,Waste Reduction,Equipment,"83,751","92,833","23,907","56,715"
Streets,Snow Removal,Removal of Snow,Contractual Services,"27,044,858","22,477,577","24,446,287","24,750,701"
Streets,Snow Removal,Removal of Snow,Supplies & Materials,"45,000","45,000","57,500","57,500"
Streets,Snow Removal,Removal of Snow,Equipment,"1,078,918","240,318","284,356","259,382"
Streets,Transportation Department,Traffic Commissioner's Office,Personnel Services,"1,165,723","1,346,521","1,157,507","1,077,239"
Streets,Transportation Department,Traffic Commissioner's Office,Contractual Services,"340,432","212,859","148,450","103,300"
Streets,Transportation Department,Traffic Commissioner's Office,Supplies & Materials,"29,559","24,522","38,140","40,740"
Streets,Transportation Department,Traffic Commissioner's Office,Current Charges & Obligations,"97,633","156,643","113,350","143,950"
Streets,Transportation Department,Traffic Commissioner's Office,Equipment, -   ,"3,432", -   ,"1,200"
Streets,Transportation Department,Traffic Management & Engineering,Personnel Services,"1,936,070","2,101,060","2,283,714","2,195,759"
Streets,Transportation Department,Traffic Management & Engineering,Contractual Services,"699,852","1,151,388","268,750","284,975"
Streets,Transportation Department,Traffic Management & Engineering,Supplies & Materials,"4,500","4,750","3,750","3,750"
Streets,Transportation Department,Traffic Management & Engineering,Current Charges & Obligations,"5,522","7,741","32,000","12,300"
Streets,Transportation Department,Traffic Management & Engineering,Equipment, -   ,"11,486","48,410","62,697"
Streets,Transportation Department,Policy & Planning,Personnel Services,"910,620","1,034,896","1,358,887","1,605,687"
Streets,Transportation Department,Policy & Planning,Contractual Services,"67,416","111,519","218,472","177,722"
Streets,Transportation Department,Policy & Planning,Supplies & Materials, -   , -   , -   , -   
Streets,Transportation Department,Policy & Planning,Current Charges & Obligations,206,"1,073","5,000","5,000"
Streets,Transportation Department,Policy & Planning,Equipment, -   ,"76,900", -   , -   
Streets,Transportation Department,Traffic Enforcement,Personnel Services,"13,125,025","13,473,804","14,123,735","14,299,693"
Streets,Transportation Department,Traffic Enforcement,Contractual Services,"753,075","821,862","722,644","719,824"
Streets,Transportation Department,Traffic Enforcement,Supplies & Materials,"338,337","405,738","376,475","351,425"
Streets,Transportation Department,Traffic Enforcement,Current Charges & Obligations,"182,266","256,957","162,200","171,300"
Streets,Transportation Department,Traffic Enforcement,Equipment,"430,721","537,323","770,011","911,821"
Streets,Transportation Department,Traffic Operations,Personnel Services,"3,927,710","4,069,879","4,610,177","4,540,303"
Streets,Transportation Department,Traffic Operations,Contractual Services,"2,027,422","2,097,256","2,303,945","2,327,107"
Streets,Transportation Department,Traffic Operations,Supplies & Materials,"667,657","1,281,643","1,102,732","1,132,168"
Streets,Transportation Department,Traffic Operations,Current Charges & Obligations,"1,028","3,111","23,705","3,705"
Streets,Transportation Department,Traffic Operations,Equipment,"193,963","276,187","358,947","324,517"
Streets,Transportation Department,Parking Clerk,Personnel Services,"2,954,740","3,099,036","3,234,128","3,186,783"
Streets,Transportation Department,Parking Clerk,Contractual Services,"5,395,795","5,145,901","5,532,750","5,738,300"
Streets,Transportation Department,Parking Clerk,Supplies & Materials,"259,384","319,542","270,000","270,000"
Streets,Transportation Department,Parking Clerk,Current Charges & Obligations,"2,854","2,838","2,500","2,500"
Streets,Transportation Department,Parking Clerk,Equipment,"42,035","2,864","6,000","6,000"
Non-Mayoral Departments,City Clerk,Legislative Support,Personnel Services,"258,314","276,958","282,283","380,274"
Non-Mayoral Departments,City Clerk,Legislative Support,Contractual Services,"15,466","13,799","13,548","16,986"
Non-Mayoral Departments,City Clerk,Legislative Support,Supplies & Materials,"4,626","8,762","8,000","8,949"
Non-Mayoral Departments,City Clerk,Legislative Support,Current Charges & Obligations,"3,106","1,059","3,945","4,079"
Non-Mayoral Departments,City Clerk,Legislative Support,Equipment,"1,289",412, -   , -   
Non-Mayoral Departments,City Clerk,Document Filing,Personnel Services,"494,677","477,494","537,312","481,092"
Non-Mayoral Departments,City Clerk,Document Filing,Contractual Services,"2,285","5,448","6,525","10,213"
Non-Mayoral Departments,City Clerk,Document Filing,Supplies & Materials,"4,722","5,300","4,300","5,300"
Non-Mayoral Departments,City Clerk,Document Filing,Current Charges & Obligations, -   , -   ,"2,235","2,235"
Non-Mayoral Departments,City Clerk,Document Filing,Equipment,"2,941",905, -   , -   
Non-Mayoral Departments,City Clerk,Archives,Personnel Services,"380,822","375,507","413,898","407,260"
Non-Mayoral Departments,City Clerk,Archives,Contractual Services,"49,141","59,194","67,105","68,331"
Non-Mayoral Departments,City Clerk,Archives,Supplies & Materials,"5,396","5,288","5,150","5,498"
Non-Mayoral Departments,City Clerk,Archives,Current Charges & Obligations,"11,474","1,875","1,950","2,050"
Non-Mayoral Departments,City Clerk,Archives,Equipment, -   ,"1,660", -   , -   
Non-Mayoral Departments,City Council,City Council Administration,Personnel Services,"248,909","281,148","362,612","371,045"
Non-Mayoral Departments,City Council,City Council Administration,Contractual Services,"4,819","86,844","56,000","56,000"
Non-Mayoral Departments,City Council,City Council Administration,Supplies & Materials,"30,958","15,907","39,000","39,000"
Non-Mayoral Departments,City Council,City Council Administration,Current Charges & Obligations, -   , -   , -   ,"15,100"
Non-Mayoral Departments,City Council,City Councilors,Personnel Services,"4,275,194","4,436,632","4,510,799","4,505,695"
Non-Mayoral Departments,City Council,City Councilors,Contractual Services,"109,963","41,029","145,600","145,600"
Non-Mayoral Departments,City Council,City Councilors,Supplies & Materials,"10,556","2,688", -   , -   
Non-Mayoral Departments,City Council,City Councilors,Current Charges & Obligations,"11,963","6,655","6,000","6,000"
Non-Mayoral Departments,City Council,City Councilors,Equipment,"17,359","8,356","20,500","20,500"
Non-Mayoral Departments,City Council,Legislative Financial Support,Personnel Services,"532,988","536,595","546,589","543,260"
Non-Mayoral Departments,City Council,Legislative Financial Support,Contractual Services,"3,985","8,971","5,500","5,500"
Non-Mayoral Departments,City Council,Legislative Financial Support,Supplies & Materials, -   , -   ,500,500
Non-Mayoral Departments,City Council,Legislative Financial Support,Current Charges & Obligations,"1,589","10,535","18,200","18,200"
Non-Mayoral Departments,City Council,Legislative Financial Support,Equipment,163,"7,111","10,000","10,000"
Non-Mayoral Departments,Finance Commission,Finance Commission Program,Personnel Services,"269,473","274,557","287,196","292,534"
Non-Mayoral Departments,Finance Commission,Finance Commission Program,Contractual Services,"1,486","1,629","4,350","4,350"
Non-Mayoral Departments,Finance Commission,Finance Commission Program,Supplies & Materials,67,150,525,525
Non-Mayoral Departments,Finance Commission,Finance Commission Program,Current Charges & Obligations, -   ,116,250,250
Non-Mayoral Departments,Finance Commission,Finance Commission Program,Equipment, -   , -   ,"2,125","2,125"
Fixed Cost,Pensions,Pensions,Other Expenses,"233,301,615","263,084,569","265,602,756","292,088,778"
Fixed Cost,Debt Service,Debt Service,Other Expenses,"170,912,982","177,282,780","186,447,791","205,628,063"
Fixed Cost,Charter School Tuition,Charter School Tuition,Other Expenses,"173,351,827","185,026,005","214,573,475","231,958,348"
Fixed Cost,MBTA,MBTA,Other Expenses,"85,805,225","88,209,579","90,665,329","93,345,107"
Fixed Cost,Other State Assessments,Other State Assessments,Other Expenses,"4,916,199","5,506,566","5,355,106","5,650,895"
Fixed Cost,Suffolk County Sheriff Dept,Suffolk County Sheriff Dept,Other Expenses,"3,874,532","3,874,532","3,845,609","3,845,609"
Fixed Cost,Reserve,Reserve,Other Expenses, -   ,"3,410,000", -   , -   
Other,Annual Audit Costs,Annual Audit Costs,Other Expenses,"979,533","816,780","750,000","750,000"
Other,Housing Trust Fund,Housing Trust Fund,Other Expenses,"471,698","653,331","614,000","618,000"
Other,Reserve for Collective Bargaining City,Reserve for Collective Bargaining City,Personnel Services,"15,500,000","2,510,427","5,651,789","3,000,000"
Other,OPEB,OPEB,Other Expenses,"40,000,000","40,000,000","40,000,000","40,000,000"
Other,Risk Retention Reserve,Risk Retention Reserve,Other Expenses,"3,000,000","3,000,000","3,000,000","3,000,000"
Other,Tax Title,Tax Title,Other Expenses, -   , -   ,"600,000","600,000"
,,,,,,,
,,,,,,,
,,,, -   , -   , -   , -   
